observation_date,MDOAH
1949-10-01,54282.0
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,82302.0
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,92435.0
1952-01-01,94253.0
1952-04-01,96746.0
1952-07-01,99215.0
1952-10-01,101600.0
1953-01-01,103983.0
1953-04-01,106947.0
1953-07-01,109425.0
1953-10-01,111950.0
1954-01-01,114085.0
1954-04-01,117322.0
1954-07-01,120757.0
1954-10-01,124713.0
1955-01-01,128671.0
1955-04-01,133115.0
1955-07-01,137348.0
1955-10-01,141566.0
1956-01-01,145393.0
1956-04-01,149832.0
1956-07-01,153816.0
1956-10-01,157459.0
1957-01-01,160751.0
1957-04-01,164000.0
1957-07-01,167673.0
1957-10-01,171028.0
1958-01-01,173967.0
1958-04-01,177934.0
1958-07-01,182578.0
1958-10-01,187790.0
1959-01-01,192148.0
1959-04-01,197869.0
1959-07-01,203345.0
1959-10-01,208399.0
1960-01-01,212520.0
1960-04-01,217322.0
1960-07-01,222388.0
1960-10-01,227078.0
1961-01-01,231202.0
1961-04-01,236433.0
1961-07-01,242158.0
1961-10-01,248570.0
1962-01-01,252928.0
1962-04-01,259010.0
1962-07-01,265138.0
1962-10-01,271837.0
1963-01-01,276711.0
1963-04-01,283720.0
1963-07-01,290691.0
1963-10-01,297560.0
1964-01-01,302964.0
1964-04-01,309847.0
1964-07-01,317110.0
1964-10-01,324179.0
1965-01-01,329407.0
1965-04-01,336146.0
1965-07-01,342763.0
1965-10-01,349516.0
1966-01-01,356093.0
1966-04-01,363471.0
1966-07-01,369165.0
1966-10-01,373695.0
1967-01-01,376934.0
1967-04-01,382135.0
1967-07-01,389396.0
1967-10-01,396864.0
1968-01-01,402736.0
1968-04-01,409458.0
1968-07-01,417114.0
1968-10-01,424519.0
1969-01-01,428741.0
1969-04-01,435471.0
1969-07-01,443256.0
1969-10-01,450484.0
1970-01-01,462501.0
1970-04-01,477510.0
1970-07-01,489121.0
1970-10-01,498474.0
1971-01-01,505427.0
1971-04-01,518665.0
1971-07-01,531816.0
1971-10-01,544519.0
1972-01-01,558457.0
1972-04-01,577837.0
1972-07-01,597379.0
1972-10-01,618238.0
1973-01-01,633414.0
1973-04-01,656595.0
1973-07-01,676968.0
1973-10-01,694158.0
1974-01-01,709349.0
1974-04-01,735651.0
1974-07-01,752515.0
1974-10-01,766211.0
1975-01-01,777277.0
